text,label
"Message-ID: <719350.1075855687850.JavaMail.evans@thyme>
 26 Sep 2000 09:26:00 -0700 (PDT)
 """"Claudia L. Crocker
 land improvements loans and construction loans would be in
 this generally means
 that are intended for re-sale, are

 engineering &
 soils tests, surveys, filing fees, legal fees for
  and appraisals.  Unlike
 none of the funds are used for fees to
 LLC.  These professional expenses will be incurred over
000 per month costs listed in the cash flow as part of land cost
 we can close into a land loan at
000 this would mean a land loan of $476,000 with estimated
966, given a 10% annual interest rate, plus
 the City will require
 referred to as
 they have to be counted as a
 even though they are not spent.  Because they are not
 which I suspect will be at least $20,000 and potentially as
000.  This would produce a loan amount of  $15,000 on $20,000
000, 'fiscals' at
000 and the land cost at $8,000 , total improved lot cost is $19,000
000 per lot in total equity.  The investment prior to
 the additional equity for the
000.   Even if the maximum loan would
 it is unlikely the bank would allow reimbursement of funds
 which can
 the total
000 per lot.   Of this, probably
000 would be for improvements and $19,000 for the land cost.  The
 the entry road, water treatment costs, perimeter fencing and
 and so on, as well as for 100% of the land.  The land loan for
 which I would
000 per lot for a loan value of $7,000 per lot.  Then the
000 per lot.  This would give
000, total cost of $1,232,645 for equity required
000.  This was not presented in the initial analysis as the phasing
 is a speculative
  is
 but the loan remains in the
 is a pre-sold unit with the construction
 as such loans are too
 if the construction loan is from the mortgage lender,  will
 then to necessary reserves, then to priority
 LLC to construct the units and the
 financing and sales costs.
 Larry Lewter or myself prior to
 except for a) direct reimbursement for partnership
 if CB cannot find a good trim carpenter sub, or
 etc., and it decides to undertake this
 it will charge the partnership the same fee it was able to obtain
 CB will receive a fee for the use of any of its equipment if it is
 but it is considering the purchase of a sky track
 cornice, roofing and drywall spreading.
 """"Bookkeeping
 but in my
 and I presume
 want to be involved to learn as much as possible we would make every
 vendors and professionals is not as

 SUBS AND VENDORS
 but this is a starting point.  Call

 Creekside Builders, LLC",safe
"Message-ID: <10523086.1075855687873.JavaMail.evans@thyme>
 26 Sep 2000 07:01:00 -0700 (PDT)
 Hunter S Shively/HOU/ECT@ECT, Scott
 Allan Severude/HOU/ECT@ECT, Jeffrey C Gossett/HOU/ECT@ECT,
 Russ Severson/HOU/ECT@ECT, Jayant
 Russell Long/HOU/ECT@ECT",safe
"Message-ID: <8572706.1075855378498.JavaMail.evans@thyme>
 3 May 2001 15:57:00 -0700 (PDT)
 Phillip K.\'Sent Mail",safe
"Message-ID: <29665600.1075855687895.JavaMail.evans@thyme>
 26 Sep 2000 05:11:00 -0700 (PDT)",safe
"Message-ID: <4449575.1075855687916.JavaMail.evans@thyme>
 26 Sep 2000 05:08:00 -0700 (PDT)",safe
"Message-ID: <24741229.1075855687937.JavaMail.evans@thyme>
 26 Sep 2000 05:07:00 -0700 (PDT)
 Hunter S Shively/HOU/ECT@ECT, Scott
 Allan Severude/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT,
 Scott Neal/HOU/ECT@ECT
 9/28 from 3:00 -",safe
"Message-ID: <19330146.1075855687961.JavaMail.evans@thyme>
 26 Sep 2000 04:57:00 -0700 (PDT)

 of course, I could be  wrong.?
 or  rather?sort of a contract.?",safe
"Message-ID: <7763065.1075855687985.JavaMail.evans@thyme>
 25 Sep 2000 07:04:00 -0700 (PDT)",safe
"Message-ID: <14215818.1075855688008.JavaMail.evans@thyme>
 25 Sep 2000 07:01:00 -0700 (PDT)",phishing
"Message-ID: <17698185.1075855688030.JavaMail.evans@thyme>
 25 Sep 2000 07:01:00 -0700 (PDT)",phishing
"Message-ID: <26911498.1075855688052.JavaMail.evans@thyme>
 25 Sep 2000 05:47:00 -0700 (PDT)",phishing
"Message-ID: <21367359.1075855688073.JavaMail.evans@thyme>
 22 Sep 2000 00:06:00 -0700 (PDT)

 can you please relay the",phishing
"Message-ID: <21687372.1075855688094.JavaMail.evans@thyme>
 20 Sep 2000 08:06:00 -0700 (PDT)

000/d in 2003 and 25,000/d in 2004 and",phishing
"Message-ID: <32300323.1075855378519.JavaMail.evans@thyme>
 2 May 2001 12:36:00 -0700 (PDT)
 Phillip K.\'Sent Mail",phishing
"Message-ID: <31434120.1075855688116.JavaMail.evans@thyme>
 20 Sep 2000 06:34:00 -0700 (PDT)

000 actually needed? Now or for the land closing? Investment

 and other professionals?
 payment schedules, or reference checking?
 but as a first time investor
 I want to learn as",phishing
"Message-ID: <32280829.1075855688139.JavaMail.evans@thyme>
 19 Sep 2000 09:35:00 -0700 (PDT)
 this will be fast tracked and should be complete
 many of the current and more severe
 which included a detention/retention and filtration pond and street
 I used this data to be cautious.
 such as the
 the quality of the surrounding neighborhoods
 but may
000 and
 which will mean that we can close into
000 for a 50% interest in the
 we can also discuss
 sell the lots to the construction entity

 we would want to
 but we had some unusual
 it looks as
 LLC",phishing
"Message-ID: <2287499.1075855688163.JavaMail.evans@thyme>
 19 Sep 2000 07:26:00 -0700 (PDT)

 my bid is .70/sf higher than his units",phishing
"Message-ID: <26184989.1075855688184.JavaMail.evans@thyme>
 19 Sep 2000 03:15:00 -0700 (PDT)",phishing
"Message-ID: <24737799.1075855688205.JavaMail.evans@thyme>
 18 Sep 2000 02:34:00 -0700 (PDT)",phishing
"Message-ID: <28779445.1075855688226.JavaMail.evans@thyme>
 13 Sep 2000 06:02:00 -0700 (PDT)",phishing
"Message-ID: <9007402.1075855688248.JavaMail.evans@thyme>
 12 Sep 2000 06:42:00 -0700 (PDT)

 College Station, TX 77845.  I",phishing
"Message-ID: <23377438.1075855688269.JavaMail.evans@thyme>
 12 Sep 2000 06:06:00 -0700 (PDT)

 1417, and 1425  Why overtime?",phishing
"Message-ID: <15766602.1075855688290.JavaMail.evans@thyme>
 12 Sep 2000 04:23:00 -0700 (PDT)
 kenneth.shulklapper@enron.com
 Kenneth Shulklapper

 Mike",phishing
